Sum of Profit,Year,Quarter,Month,Day,forecastValue,confidenceHighBound,confidenceLowBound,,,,,,
28.2668,2019,Qtr 1,January,1,No forecast,No forecast,No forecast,,,,,,
105.541,2019,Qtr 1,January,2,No forecast,No forecast,No forecast,,,,,,
386.486,2019,Qtr 1,January,3,No forecast,No forecast,No forecast,,,,,,
40.402,2019,Qtr 1,January,4,No forecast,No forecast,No forecast,,,,,,
46.4568,2019,Qtr 1,January,5,No forecast,No forecast,No forecast,,,,,,
8.1391,2019,Qtr 1,January,7,No forecast,No forecast,No forecast,,,,,,
449.1403,2019,Qtr 1,January,8,No forecast,No forecast,No forecast,,,,,,
264.498,2019,Qtr 1,January,9,No forecast,No forecast,No forecast,,,,,,
55.3653,2019,Qtr 1,January,10,No forecast,No forecast,No forecast,,,,,,
25.0834,2019,Qtr 1,January,11,No forecast,No forecast,No forecast,,,,,,
64.046,2019,Qtr 1,January,14,No forecast,No forecast,No forecast,,,,,,
196.1224,2019,Qtr 1,January,15,No forecast,No forecast,No forecast,,,,,,
15.9965,2019,Qtr 1,January,16,No forecast,No forecast,No forecast,,,,,,
176.2682,2019,Qtr 1,January,17,No forecast,No forecast,No forecast,,,,,,
70.2528,2019,Qtr 1,January,21,No forecast,No forecast,No forecast,,,,,,
23.5309,2019,Qtr 1,January,22,No forecast,No forecast,No forecast,,,,,,
474.0368,2019,Qtr 1,January,23,No forecast,No forecast,No forecast,,,,,,
15.68,2019,Qtr 1,January,24,No forecast,No forecast,No forecast,,,,,,
-65.8542,2019,Qtr 1,January,25,No forecast,No forecast,No forecast,,,,,,
10.3168,2019,Qtr 1,January,28,No forecast,No forecast,No forecast,,,,,,
-284.2246,2019,Qtr 1,January,30,No forecast,No forecast,No forecast,,,,,,
747.5398,2019,Qtr 1,January,31,No forecast,No forecast,No forecast,,,,,,
63.2162,2019,Qtr 1,February,1,No forecast,No forecast,No forecast,,,,,,
2753.711,2019,Qtr 1,February,2,No forecast,No forecast,No forecast,,,,,,
225.264,2019,Qtr 1,February,3,No forecast,No forecast,No forecast,,,,,,
31.1968,2019,Qtr 1,February,4,No forecast,No forecast,No forecast,,,,,,
721.2766,2019,Qtr 1,February,5,No forecast,No forecast,No forecast,,,,,,
-18.1808,2019,Qtr 1,February,6,No forecast,No forecast,No forecast,,,,,,
74.2225,2019,Qtr 1,February,7,No forecast,No forecast,No forecast,,,,,,
126.8973,2019,Qtr 1,February,8,No forecast,No forecast,No forecast,,,,,,
50.7378,2019,Qtr 1,February,9,No forecast,No forecast,No forecast,,,,,,
0.6993,2019,Qtr 1,February,11,No forecast,No forecast,No forecast,,,,,,
182.998,2019,Qtr 1,February,12,No forecast,No forecast,No forecast,,,,,,
73.41,2019,Qtr 1,February,13,No forecast,No forecast,No forecast,,,,,,
30.3747,2019,Qtr 1,February,14,No forecast,No forecast,No forecast,,,,,,
128.0602,2019,Qtr 1,February,15,No forecast,No forecast,No forecast,,,,,,
-71.0268,2019,Qtr 1,February,16,No forecast,No forecast,No forecast,,,,,,
68.4625,2019,Qtr 1,February,19,No forecast,No forecast,No forecast,,,,,,
5.5674,2019,Qtr 1,February,20,No forecast,No forecast,No forecast,,,,,,
207.6645,2019,Qtr 1,February,21,No forecast,No forecast,No forecast,,,,,,
213.2609,2019,Qtr 1,February,22,No forecast,No forecast,No forecast,,,,,,
21.591,2019,Qtr 1,February,23,No forecast,No forecast,No forecast,,,,,,
17.52,2019,Qtr 1,February,25,No forecast,No forecast,No forecast,,,,,,
71.0836,2019,Qtr 1,February,27,No forecast,No forecast,No forecast,,,,,,
26.5728,2019,Qtr 1,February,28,No forecast,No forecast,No forecast,,,,,,
2267.4251,2019,Qtr 1,March,1,No forecast,No forecast,No forecast,,,,,,
-383.7433,2019,Qtr 1,March,3,No forecast,No forecast,No forecast,,,,,,
130.2479,2019,Qtr 1,March,4,No forecast,No forecast,No forecast,,,,,,
49.5943,2019,Qtr 1,March,5,No forecast,No forecast,No forecast,,,,,,
-389.1555,2019,Qtr 1,March,6,No forecast,No forecast,No forecast,,,,,,
1.5804,2019,Qtr 1,March,7,No forecast,No forecast,No forecast,,,,,,
216.5398,2019,Qtr 1,March,8,No forecast,No forecast,No forecast,,,,,,
212.0786,2019,Qtr 1,March,9,No forecast,No forecast,No forecast,,,,,,
745.8323,2019,Qtr 1,March,10,No forecast,No forecast,No forecast,,,,,,
162.7658,2019,Qtr 1,March,11,No forecast,No forecast,No forecast,,,,,,
167.7573,2019,Qtr 1,March,12,No forecast,No forecast,No forecast,,,,,,
-543.3346,2019,Qtr 1,March,13,No forecast,No forecast,No forecast,,,,,,
6.7042,2019,Qtr 1,March,14,No forecast,No forecast,No forecast,,,,,,
61.3569,2019,Qtr 1,March,15,No forecast,No forecast,No forecast,,,,,,
708.7041,2019,Qtr 1,March,17,No forecast,No forecast,No forecast,,,,,,
-7.761,2019,Qtr 1,March,18,No forecast,No forecast,No forecast,,,,,,
-105.7262,2019,Qtr 1,March,19,No forecast,No forecast,No forecast,,,,,,
163.1951,2019,Qtr 1,March,20,No forecast,No forecast,No forecast,,,,,,
-4.161,2019,Qtr 1,March,21,No forecast,No forecast,No forecast,,,,,,
34.0216,2019,Qtr 1,March,22,No forecast,No forecast,No forecast,,,,,,
-204.0048,2019,Qtr 1,March,24,No forecast,No forecast,No forecast,,,,,,
262.4715,2019,Qtr 1,March,25,No forecast,No forecast,No forecast,,,,,,
20.5017,2019,Qtr 1,March,26,No forecast,No forecast,No forecast,,,,,,
35.8254,2019,Qtr 1,March,27,No forecast,No forecast,No forecast,,,,,,
11.6594,2019,Qtr 1,March,28,No forecast,No forecast,No forecast,,,,,,
-8.9929,2019,Qtr 1,March,29,No forecast,No forecast,No forecast,,,,,,
5.5566,2019,Qtr 1,March,30,No forecast,No forecast,No forecast,,,,,,
-4.9707,2019,Qtr 1,March,31,No forecast,No forecast,No forecast,,,,,,
485.771,2019,Qtr 2,April,1,No forecast,No forecast,No forecast,,,,,,
378.274,2019,Qtr 2,April,2,No forecast,No forecast,No forecast,,,,,,
66.833,2019,Qtr 2,April,3,No forecast,No forecast,No forecast,,,,,,
256.3547,2019,Qtr 2,April,4,No forecast,No forecast,No forecast,,,,,,
-177.3102,2019,Qtr 2,April,5,No forecast,No forecast,No forecast,,,,,,
336.635,2019,Qtr 2,April,6,No forecast,No forecast,No forecast,,,,,,
546.7635,2019,Qtr 2,April,7,No forecast,No forecast,No forecast,,,,,,
-1680.9997,2019,Qtr 2,April,8,No forecast,No forecast,No forecast,,,,,,
156.4469,2019,Qtr 2,April,9,No forecast,No forecast,No forecast,,,,,,
158.1682,2019,Qtr 2,April,10,No forecast,No forecast,No forecast,,,,,,
59.4319,2019,Qtr 2,April,12,No forecast,No forecast,No forecast,,,,,,
2.8764,2019,Qtr 2,April,13,No forecast,No forecast,No forecast,,,,,,
171.6586,2019,Qtr 2,April,14,No forecast,No forecast,No forecast,,,,,,
63.0073,2019,Qtr 2,April,15,No forecast,No forecast,No forecast,,,,,,
2434.1032,2019,Qtr 2,April,16,No forecast,No forecast,No forecast,,,,,,
57.5114,2019,Qtr 2,April,17,No forecast,No forecast,No forecast,,,,,,
-61.6424,2019,Qtr 2,April,18,No forecast,No forecast,No forecast,,,,,,
194.7754,2019,Qtr 2,April,19,No forecast,No forecast,No forecast,,,,,,
-174.7428,2019,Qtr 2,April,21,No forecast,No forecast,No forecast,,,,,,
-826.5596,2019,Qtr 2,April,22,No forecast,No forecast,No forecast,,,,,,
244.18,2019,Qtr 2,April,23,No forecast,No forecast,No forecast,,,,,,
218.484,2019,Qtr 2,April,24,No forecast,No forecast,No forecast,,,,,,
-37.9432,2019,Qtr 2,April,25,No forecast,No forecast,No forecast,,,,,,
62.7822,2019,Qtr 2,April,26,No forecast,No forecast,No forecast,,,,,,
27.9565,2019,Qtr 2,April,28,No forecast,No forecast,No forecast,,,,,,
14.9996,2019,Qtr 2,April,30,No forecast,No forecast,No forecast,,,,,,
-75.2426,2019,Qtr 2,May,1,No forecast,No forecast,No forecast,,,,,,
58.1074,2019,Qtr 2,May,2,No forecast,No forecast,No forecast,,,,,,
-309.4466,2019,Qtr 2,May,3,No forecast,No forecast,No forecast,,,,,,
449.3112,2019,Qtr 2,May,5,No forecast,No forecast,No forecast,,,,,,
49.6633,2019,Qtr 2,May,6,No forecast,No forecast,No forecast,,,,,,
1322.131,2019,Qtr 2,May,7,No forecast,No forecast,No forecast,,,,,,
154.6985,2019,Qtr 2,May,8,No forecast,No forecast,No forecast,,,,,,
9.5086,2019,Qtr 2,May,9,No forecast,No forecast,No forecast,,,,,,
-115.7508,2019,Qtr 2,May,10,No forecast,No forecast,No forecast,,,,,,
2.691,2019,Qtr 2,May,11,No forecast,No forecast,No forecast,,,,,,
367.1883,2019,Qtr 2,May,12,No forecast,No forecast,No forecast,,,,,,
40.8575,2019,Qtr 2,May,14,No forecast,No forecast,No forecast,,,,,,
273.3048,2019,Qtr 2,May,15,No forecast,No forecast,No forecast,,,,,,
41.601,2019,Qtr 2,May,16,No forecast,No forecast,No forecast,,,,,,
16.3809,2019,Qtr 2,May,17,No forecast,No forecast,No forecast,,,,,,
34.8606,2019,Qtr 2,May,18,No forecast,No forecast,No forecast,,,,,,
325.799,2019,Qtr 2,May,19,No forecast,No forecast,No forecast,,,,,,
328.2993,2019,Qtr 2,May,20,No forecast,No forecast,No forecast,,,,,,
271.2109,2019,Qtr 2,May,21,No forecast,No forecast,No forecast,,,,,,
386.2747,2019,Qtr 2,May,22,No forecast,No forecast,No forecast,,,,,,
1262.19,2019,Qtr 2,May,23,No forecast,No forecast,No forecast,,,,,,
115.4542,2019,Qtr 2,May,24,No forecast,No forecast,No forecast,,,,,,
167.6508,2019,Qtr 2,May,25,No forecast,No forecast,No forecast,,,,,,
70.6306,2019,Qtr 2,May,26,No forecast,No forecast,No forecast,,,,,,
989.5656,2019,Qtr 2,May,27,No forecast,No forecast,No forecast,,,,,,
305.5458,2019,Qtr 2,May,28,No forecast,No forecast,No forecast,,,,,,
291.9959,2019,Qtr 2,May,29,No forecast,No forecast,No forecast,,,,,,
1777.9959,2019,Qtr 2,May,30,No forecast,No forecast,No forecast,,,,,,
49.6696,2019,Qtr 2,May,31,No forecast,No forecast,No forecast,,,,,,
23.5796,2019,Qtr 2,June,2,No forecast,No forecast,No forecast,,,,,,
-1.7772,2019,Qtr 2,June,3,No forecast,No forecast,No forecast,,,,,,
-29.8977,2019,Qtr 2,June,4,No forecast,No forecast,No forecast,,,,,,
121.3312,2019,Qtr 2,June,5,No forecast,No forecast,No forecast,,,,,,
1049.4815,2019,Qtr 2,June,6,No forecast,No forecast,No forecast,,,,,,
22.9219,2019,Qtr 2,June,7,No forecast,No forecast,No forecast,,,,,,
179.1381,2019,Qtr 2,June,9,No forecast,No forecast,No forecast,,,,,,
-183.5896,2019,Qtr 2,June,10,No forecast,No forecast,No forecast,,,,,,
237.9551,2019,Qtr 2,June,11,No forecast,No forecast,No forecast,,,,,,
282.5019,2019,Qtr 2,June,12,No forecast,No forecast,No forecast,,,,,,
114.9353,2019,Qtr 2,June,13,No forecast,No forecast,No forecast,,,,,,
326.6274,2019,Qtr 2,June,14,No forecast,No forecast,No forecast,,,,,,
54.215,2019,Qtr 2,June,15,No forecast,No forecast,No forecast,,,,,,
24.491,2019,Qtr 2,June,16,No forecast,No forecast,No forecast,,,,,,
277.3227,2019,Qtr 2,June,17,No forecast,No forecast,No forecast,,,,,,
115.9074,2019,Qtr 2,June,18,No forecast,No forecast,No forecast,,,,,,
8.0464,2019,Qtr 2,June,19,No forecast,No forecast,No forecast,,,,,,
153.8827,2019,Qtr 2,June,20,No forecast,No forecast,No forecast,,,,,,
27.7592,2019,Qtr 2,June,21,No forecast,No forecast,No forecast,,,,,,
345.1115,2019,Qtr 2,June,23,No forecast,No forecast,No forecast,,,,,,
720.6928,2019,Qtr 2,June,24,No forecast,No forecast,No forecast,,,,,,
-112.1216,2019,Qtr 2,June,25,No forecast,No forecast,No forecast,,,,,,
428.856,2019,Qtr 2,June,26,No forecast,No forecast,No forecast,,,,,,
17.0654,2019,Qtr 2,June,27,No forecast,No forecast,No forecast,,,,,,
226.2909,2019,Qtr 2,June,28,No forecast,No forecast,No forecast,,,,,,
19.188,2019,Qtr 2,June,29,No forecast,No forecast,No forecast,,,,,,
300.4632,2019,Qtr 2,June,30,No forecast,No forecast,No forecast,,,,,,
545.6346,2019,Qtr 3,July,1,No forecast,No forecast,No forecast,,,,,,
37.1906,2019,Qtr 3,July,2,No forecast,No forecast,No forecast,,,,,,
242.9458,2019,Qtr 3,July,3,No forecast,No forecast,No forecast,,,,,,
293.1901,2019,Qtr 3,July,4,No forecast,No forecast,No forecast,,,,,,
1007.9792,2019,Qtr 3,July,7,No forecast,No forecast,No forecast,,,,,,
243.6091,2019,Qtr 3,July,8,No forecast,No forecast,No forecast,,,,,,
87.4096,2019,Qtr 3,July,9,No forecast,No forecast,No forecast,,,,,,
-370.0612,2019,Qtr 3,July,10,No forecast,No forecast,No forecast,,,,,,
7.182,2019,Qtr 3,July,12,No forecast,No forecast,No forecast,,,,,,
350.7695,2019,Qtr 3,July,14,No forecast,No forecast,No forecast,,,,,,
69.754,2019,Qtr 3,July,15,No forecast,No forecast,No forecast,,,,,,
-65.546,2019,Qtr 3,July,16,No forecast,No forecast,No forecast,,,,,,
625.6817,2019,Qtr 3,July,17,No forecast,No forecast,No forecast,,,,,,
99.531,2019,Qtr 3,July,18,No forecast,No forecast,No forecast,,,,,,
500.51,2019,Qtr 3,July,19,No forecast,No forecast,No forecast,,,,,,
43.176,2019,Qtr 3,July,20,No forecast,No forecast,No forecast,,,,,,
205.748,2019,Qtr 3,July,21,No forecast,No forecast,No forecast,,,,,,
276.6497,2019,Qtr 3,July,22,No forecast,No forecast,No forecast,,,,,,
-99.4389,2019,Qtr 3,July,23,No forecast,No forecast,No forecast,,,,,,
52.2436,2019,Qtr 3,July,24,No forecast,No forecast,No forecast,,,,,,
1109.2371,2019,Qtr 3,July,25,No forecast,No forecast,No forecast,,,,,,
-1307.0702,2019,Qtr 3,July,28,No forecast,No forecast,No forecast,,,,,,
-12.0947,2019,Qtr 3,July,29,No forecast,No forecast,No forecast,,,,,,
219.9664,2019,Qtr 3,July,30,No forecast,No forecast,No forecast,,,,,,
268.6809,2019,Qtr 3,July,31,No forecast,No forecast,No forecast,,,,,,
114.5336,2019,Qtr 3,August,1,No forecast,No forecast,No forecast,,,,,,
53.4138,2019,Qtr 3,August,2,No forecast,No forecast,No forecast,,,,,,
61.743,2019,Qtr 3,August,3,No forecast,No forecast,No forecast,,,,,,
98.0654,2019,Qtr 3,August,4,No forecast,No forecast,No forecast,,,,,,
59.115,2019,Qtr 3,August,5,No forecast,No forecast,No forecast,,,,,,
67.5102,2019,Qtr 3,August,6,No forecast,No forecast,No forecast,,,,,,
86.3856,2019,Qtr 3,August,7,No forecast,No forecast,No forecast,,,,,,
180.9266,2019,Qtr 3,August,8,No forecast,No forecast,No forecast,,,,,,
67.2246,2019,Qtr 3,August,9,No forecast,No forecast,No forecast,,,,,,
70.4852,2019,Qtr 3,August,11,No forecast,No forecast,No forecast,,,,,,
14.8746,2019,Qtr 3,August,12,No forecast,No forecast,No forecast,,,,,,
-82.3052,2019,Qtr 3,August,13,No forecast,No forecast,No forecast,,,,,,
-8.0738,2019,Qtr 3,August,14,No forecast,No forecast,No forecast,,,,,,
175.2732,2019,Qtr 3,August,15,No forecast,No forecast,No forecast,,,,,,
32.7522,2019,Qtr 3,August,16,No forecast,No forecast,No forecast,,,,,,
5.6956,2019,Qtr 3,August,17,No forecast,No forecast,No forecast,,,,,,
132.1081,2019,Qtr 3,August,18,No forecast,No forecast,No forecast,,,,,,
154.1413,2019,Qtr 3,August,19,No forecast,No forecast,No forecast,,,,,,
3.9906,2019,Qtr 3,August,20,No forecast,No forecast,No forecast,,,,,,
18.4318,2019,Qtr 3,August,21,No forecast,No forecast,No forecast,,,,,,
46.673,2019,Qtr 3,August,22,No forecast,No forecast,No forecast,,,,,,
230.8845,2019,Qtr 3,August,23,No forecast,No forecast,No forecast,,,,,,
748.6752,2019,Qtr 3,August,26,No forecast,No forecast,No forecast,,,,,,
196.3329,2019,Qtr 3,August,27,No forecast,No forecast,No forecast,,,,,,
-89.6447,2019,Qtr 3,August,28,No forecast,No forecast,No forecast,,,,,,
-121.177,2019,Qtr 3,August,29,No forecast,No forecast,No forecast,,,,,,
-258.3628,2019,Qtr 3,August,30,No forecast,No forecast,No forecast,,,,,,
2.3968,2019,Qtr 3,August,31,No forecast,No forecast,No forecast,,,,,,
1896.7402,2019,Qtr 3,September,1,No forecast,No forecast,No forecast,,,,,,
750.1167,2019,Qtr 3,September,2,No forecast,No forecast,No forecast,,,,,,
-755.7506,2019,Qtr 3,September,3,No forecast,No forecast,No forecast,,,,,,
1464.5008,2019,Qtr 3,September,4,No forecast,No forecast,No forecast,,,,,,
425.5154,2019,Qtr 3,September,5,No forecast,No forecast,No forecast,,,,,,
204.6418,2019,Qtr 3,September,6,No forecast,No forecast,No forecast,,,,,,
-375.63,2019,Qtr 3,September,8,No forecast,No forecast,No forecast,,,,,,
12.1616,2019,Qtr 3,September,9,No forecast,No forecast,No forecast,,,,,,
250.4304,2019,Qtr 3,September,10,No forecast,No forecast,No forecast,,,,,,
1353.6502,2019,Qtr 3,September,11,No forecast,No forecast,No forecast,,,,,,
452.8074,2019,Qtr 3,September,12,No forecast,No forecast,No forecast,,,,,,
696.2947,2019,Qtr 3,September,13,No forecast,No forecast,No forecast,,,,,,
396.3846,2019,Qtr 3,September,14,No forecast,No forecast,No forecast,,,,,,
601.9099,2019,Qtr 3,September,15,No forecast,No forecast,No forecast,,,,,,
