Sum of Profit,Year,Quarter,Month,Day,forecastValue,confidenceHighBound,confidenceLowBound,,,,,,
169.1964,2020,Qtr 2,May,28,No forecast,No forecast,No forecast,,,,,,
110.4299,2020,Qtr 2,May,29,No forecast,No forecast,No forecast,,,,,,
75.1597,2020,Qtr 2,May,30,No forecast,No forecast,No forecast,,,,,,
1295.5061,2020,Qtr 2,June,1,No forecast,No forecast,No forecast,,,,,,
38.5265,2020,Qtr 2,June,2,No forecast,No forecast,No forecast,,,,,,
384.1454,2020,Qtr 2,June,3,No forecast,No forecast,No forecast,,,,,,
66.7452,2020,Qtr 2,June,4,No forecast,No forecast,No forecast,,,,,,
60.1749,2020,Qtr 2,June,5,No forecast,No forecast,No forecast,,,,,,
2.178,2020,Qtr 2,June,6,No forecast,No forecast,No forecast,,,,,,
134.1619,2020,Qtr 2,June,8,No forecast,No forecast,No forecast,,,,,,
2.2273,2020,Qtr 2,June,9,No forecast,No forecast,No forecast,,,,,,
186.4923,2020,Qtr 2,June,10,No forecast,No forecast,No forecast,,,,,,
274.9412,2020,Qtr 2,June,11,No forecast,No forecast,No forecast,,,,,,
314.9144,2020,Qtr 2,June,12,No forecast,No forecast,No forecast,,,,,,
-95.0222,2020,Qtr 2,June,13,No forecast,No forecast,No forecast,,,,,,
404.4218,2020,Qtr 2,June,15,No forecast,No forecast,No forecast,,,,,,
521.365,2020,Qtr 2,June,16,No forecast,No forecast,No forecast,,,,,,
1696.4659,2020,Qtr 2,June,17,No forecast,No forecast,No forecast,,,,,,
117.8799,2020,Qtr 2,June,18,No forecast,No forecast,No forecast,,,,,,
-22.0346,2020,Qtr 2,June,19,No forecast,No forecast,No forecast,,,,,,
263.752,2020,Qtr 2,June,20,No forecast,No forecast,No forecast,,,,,,
230.9592,2020,Qtr 2,June,21,No forecast,No forecast,No forecast,,,,,,
123.2786,2020,Qtr 2,June,22,No forecast,No forecast,No forecast,,,,,,
-28.5234,2020,Qtr 2,June,24,No forecast,No forecast,No forecast,,,,,,
185.0875,2020,Qtr 2,June,25,No forecast,No forecast,No forecast,,,,,,
705.2894,2020,Qtr 2,June,26,No forecast,No forecast,No forecast,,,,,,
335.5359,2020,Qtr 2,June,27,No forecast,No forecast,No forecast,,,,,,
889.2002,2020,Qtr 2,June,29,No forecast,No forecast,No forecast,,,,,,
135.6673,2020,Qtr 2,June,30,No forecast,No forecast,No forecast,,,,,,
103.9546,2020,Qtr 3,July,1,No forecast,No forecast,No forecast,,,,,,
51.3259,2020,Qtr 3,July,2,No forecast,No forecast,No forecast,,,,,,
1488.1451,2020,Qtr 3,July,3,No forecast,No forecast,No forecast,,,,,,
-337.4099,2020,Qtr 3,July,5,No forecast,No forecast,No forecast,,,,,,
13.7454,2020,Qtr 3,July,6,No forecast,No forecast,No forecast,,,,,,
37.4029,2020,Qtr 3,July,7,No forecast,No forecast,No forecast,,,,,,
817.1376,2020,Qtr 3,July,8,No forecast,No forecast,No forecast,,,,,,
164.1114,2020,Qtr 3,July,9,No forecast,No forecast,No forecast,,,,,,
44.925,2020,Qtr 3,July,10,No forecast,No forecast,No forecast,,,,,,
336.1681,2020,Qtr 3,July,11,No forecast,No forecast,No forecast,,,,,,
1.1925,2020,Qtr 3,July,12,No forecast,No forecast,No forecast,,,,,,
112.0167,2020,Qtr 3,July,13,No forecast,No forecast,No forecast,,,,,,
-46.0439,2020,Qtr 3,July,14,No forecast,No forecast,No forecast,,,,,,
285.2052,2020,Qtr 3,July,15,No forecast,No forecast,No forecast,,,,,,
15.0374,2020,Qtr 3,July,16,No forecast,No forecast,No forecast,,,,,,
477.3142,2020,Qtr 3,July,17,No forecast,No forecast,No forecast,,,,,,
-425.6398,2020,Qtr 3,July,18,No forecast,No forecast,No forecast,,,,,,
727.2774,2020,Qtr 3,July,20,No forecast,No forecast,No forecast,,,,,,
144.2286,2020,Qtr 3,July,21,No forecast,No forecast,No forecast,,,,,,
-61.1061,2020,Qtr 3,July,22,No forecast,No forecast,No forecast,,,,,,
258.4118,2020,Qtr 3,July,23,No forecast,No forecast,No forecast,,,,,,
839.986,2020,Qtr 3,July,24,No forecast,No forecast,No forecast,,,,,,
-39.7968,2020,Qtr 3,July,25,No forecast,No forecast,No forecast,,,,,,
705.274,2020,Qtr 3,July,26,No forecast,No forecast,No forecast,,,,,,
211.5755,2020,Qtr 3,July,27,No forecast,No forecast,No forecast,,,,,,
108.0536,2020,Qtr 3,July,28,No forecast,No forecast,No forecast,,,,,,
367.4606,2020,Qtr 3,July,29,No forecast,No forecast,No forecast,,,,,,
87.9368,2020,Qtr 3,July,30,No forecast,No forecast,No forecast,,,,,,
464.7314,2020,Qtr 3,July,31,No forecast,No forecast,No forecast,,,,,,
-159.4062,2020,Qtr 3,August,1,No forecast,No forecast,No forecast,,,,,,
40.3009,2020,Qtr 3,August,3,No forecast,No forecast,No forecast,,,,,,
0.432,2020,Qtr 3,August,4,No forecast,No forecast,No forecast,,,,,,
170.4234,2020,Qtr 3,August,5,No forecast,No forecast,No forecast,,,,,,
419.7762,2020,Qtr 3,August,6,No forecast,No forecast,No forecast,,,,,,
705.8854,2020,Qtr 3,August,7,No forecast,No forecast,No forecast,,,,,,
521.9644,2020,Qtr 3,August,10,No forecast,No forecast,No forecast,,,,,,
235.9044,2020,Qtr 3,August,11,No forecast,No forecast,No forecast,,,,,,
888.6845,2020,Qtr 3,August,12,No forecast,No forecast,No forecast,,,,,,
-1071.7152,2020,Qtr 3,August,13,No forecast,No forecast,No forecast,,,,,,
12.3879,2020,Qtr 3,August,14,No forecast,No forecast,No forecast,,,,,,
-289.1836,2020,Qtr 3,August,15,No forecast,No forecast,No forecast,,,,,,
-12.0292,2020,Qtr 3,August,16,No forecast,No forecast,No forecast,,,,,,
605.8985,2020,Qtr 3,August,17,No forecast,No forecast,No forecast,,,,,,
1971.9706,2020,Qtr 3,August,18,No forecast,No forecast,No forecast,,,,,,
225.0193,2020,Qtr 3,August,19,No forecast,No forecast,No forecast,,,,,,
183.6178,2020,Qtr 3,August,20,No forecast,No forecast,No forecast,,,,,,
2245.6488,2020,Qtr 3,August,21,No forecast,No forecast,No forecast,,,,,,
-81.2501,2020,Qtr 3,August,22,No forecast,No forecast,No forecast,,,,,,
358.546,2020,Qtr 3,August,23,No forecast,No forecast,No forecast,,,,,,
77.406,2020,Qtr 3,August,24,No forecast,No forecast,No forecast,,,,,,
-17.1108,2020,Qtr 3,August,25,No forecast,No forecast,No forecast,,,,,,
-14.765,2020,Qtr 3,August,26,No forecast,No forecast,No forecast,,,,,,
1008.8821,2020,Qtr 3,August,27,No forecast,No forecast,No forecast,,,,,,
345.3009,2020,Qtr 3,August,28,No forecast,No forecast,No forecast,,,,,,
57.1282,2020,Qtr 3,August,29,No forecast,No forecast,No forecast,,,,,,
611.2385,2020,Qtr 3,August,31,No forecast,No forecast,No forecast,,,,,,
340.5586,2020,Qtr 3,September,1,No forecast,No forecast,No forecast,,,,,,
2600.1853,2020,Qtr 3,September,2,No forecast,No forecast,No forecast,,,,,,
199.4818,2020,Qtr 3,September,3,No forecast,No forecast,No forecast,,,,,,
224.4251,2020,Qtr 3,September,4,No forecast,No forecast,No forecast,,,,,,
-17.1944,2020,Qtr 3,September,5,No forecast,No forecast,No forecast,,,,,,
1248.2397,2020,Qtr 3,September,7,No forecast,No forecast,No forecast,,,,,,
-510.9671,2020,Qtr 3,September,8,No forecast,No forecast,No forecast,,,,,,
-152.8754,2020,Qtr 3,September,9,No forecast,No forecast,No forecast,,,,,,
-977.3219,2020,Qtr 3,September,10,No forecast,No forecast,No forecast,,,,,,
1032.8847,2020,Qtr 3,September,11,No forecast,No forecast,No forecast,,,,,,
219.391,2020,Qtr 3,September,12,No forecast,No forecast,No forecast,,,,,,
2.786,2020,Qtr 3,September,13,No forecast,No forecast,No forecast,,,,,,
474.3417,2020,Qtr 3,September,14,No forecast,No forecast,No forecast,,,,,,
1934.9693,2020,Qtr 3,September,15,No forecast,No forecast,No forecast,,,,,,
-335.6626,2020,Qtr 3,September,16,No forecast,No forecast,No forecast,,,,,,
769.2717,2020,Qtr 3,September,17,No forecast,No forecast,No forecast,,,,,,
501.5421,2020,Qtr 3,September,18,No forecast,No forecast,No forecast,,,,,,
53.9899,2020,Qtr 3,September,19,No forecast,No forecast,No forecast,,,,,,
1571.7964,2020,Qtr 3,September,20,No forecast,No forecast,No forecast,,,,,,
97.2069,2020,Qtr 3,September,21,No forecast,No forecast,No forecast,,,,,,
-145.5779,2020,Qtr 3,September,22,No forecast,No forecast,No forecast,,,,,,
115.1856,2020,Qtr 3,September,23,No forecast,No forecast,No forecast,,,,,,
1000.4615,2020,Qtr 3,September,24,No forecast,No forecast,No forecast,,,,,,
228.9978,2020,Qtr 3,September,25,No forecast,No forecast,No forecast,,,,,,
314.9023,2020,Qtr 3,September,26,No forecast,No forecast,No forecast,,,,,,
-46.3779,2020,Qtr 3,September,28,No forecast,No forecast,No forecast,,,,,,
39.5607,2020,Qtr 3,September,29,No forecast,No forecast,No forecast,,,,,,
207.3547,2020,Qtr 3,September,30,No forecast,No forecast,No forecast,,,,,,
1013.073,2020,Qtr 4,October,1,No forecast,No forecast,No forecast,,,,,,
-1095.5167,2020,Qtr 4,October,2,No forecast,No forecast,No forecast,,,,,,
943.3932,2020,Qtr 4,October,3,No forecast,No forecast,No forecast,,,,,,
8.5914,2020,Qtr 4,October,4,No forecast,No forecast,No forecast,,,,,,
1475.2477,2020,Qtr 4,October,5,No forecast,No forecast,No forecast,,,,,,
348.323,2020,Qtr 4,October,6,No forecast,No forecast,No forecast,,,,,,
218.4405,2020,Qtr 4,October,7,No forecast,No forecast,No forecast,,,,,,
148.0335,2020,Qtr 4,October,8,No forecast,No forecast,No forecast,,,,,,
-467.1381,2020,Qtr 4,October,9,No forecast,No forecast,No forecast,,,,,,
-47.8716,2020,Qtr 4,October,10,No forecast,No forecast,No forecast,,,,,,
526.1517,2020,Qtr 4,October,12,No forecast,No forecast,No forecast,,,,,,
2553.2419,2020,Qtr 4,October,13,No forecast,No forecast,No forecast,,,,,,
-28.5702,2020,Qtr 4,October,14,No forecast,No forecast,No forecast,,,,,,
230.1392,2020,Qtr 4,October,15,No forecast,No forecast,No forecast,,,,,,
-1100.3811,2020,Qtr 4,October,16,No forecast,No forecast,No forecast,,,,,,
23.0989,2020,Qtr 4,October,17,No forecast,No forecast,No forecast,,,,,,
-1430.7904,2020,Qtr 4,October,19,No forecast,No forecast,No forecast,,,,,,
135.7559,2020,Qtr 4,October,20,No forecast,No forecast,No forecast,,,,,,
444.7591,2020,Qtr 4,October,21,No forecast,No forecast,No forecast,,,,,,
4539.8266,2020,Qtr 4,October,22,No forecast,No forecast,No forecast,,,,,,
82.3213,2020,Qtr 4,October,23,No forecast,No forecast,No forecast,,,,,,
-76.0505,2020,Qtr 4,October,24,No forecast,No forecast,No forecast,,,,,,
107.7275,2020,Qtr 4,October,26,No forecast,No forecast,No forecast,,,,,,
103.8625,2020,Qtr 4,October,27,No forecast,No forecast,No forecast,,,,,,
36.1057,2020,Qtr 4,October,28,No forecast,No forecast,No forecast,,,,,,
22.5408,2020,Qtr 4,October,29,No forecast,No forecast,No forecast,,,,,,
518.9913,2020,Qtr 4,October,30,No forecast,No forecast,No forecast,,,,,,
41.9694,2020,Qtr 4,October,31,No forecast,No forecast,No forecast,,,,,,
358.8969,2020,Qtr 4,November,1,No forecast,No forecast,No forecast,,,,,,
929.1536,2020,Qtr 4,November,2,No forecast,No forecast,No forecast,,,,,,
675.2008,2020,Qtr 4,November,3,No forecast,No forecast,No forecast,,,,,,
-3987.2422,2020,Qtr 4,November,4,No forecast,No forecast,No forecast,,,,,,
525.4202,2020,Qtr 4,November,5,No forecast,No forecast,No forecast,,,,,,
562.9598,2020,Qtr 4,November,6,No forecast,No forecast,No forecast,,,,,,
119.6416,2020,Qtr 4,November,7,No forecast,No forecast,No forecast,,,,,,
145.392,2020,Qtr 4,November,8,No forecast,No forecast,No forecast,,,,,,
1219.0435,2020,Qtr 4,November,9,No forecast,No forecast,No forecast,,,,,,
-111.1302,2020,Qtr 4,November,10,No forecast,No forecast,No forecast,,,,,,
283.2476,2020,Qtr 4,November,11,No forecast,No forecast,No forecast,,,,,,
-37.835,2020,Qtr 4,November,12,No forecast,No forecast,No forecast,,,,,,
-398.4248,2020,Qtr 4,November,13,No forecast,No forecast,No forecast,,,,,,
31.0536,2020,Qtr 4,November,14,No forecast,No forecast,No forecast,,,,,,
55.016,2020,Qtr 4,November,15,No forecast,No forecast,No forecast,,,,,,
539.0093,2020,Qtr 4,November,16,No forecast,No forecast,No forecast,,,,,,
5895.3981,2020,Qtr 4,November,17,No forecast,No forecast,No forecast,,,,,,
253.8081,2020,Qtr 4,November,18,No forecast,No forecast,No forecast,,,,,,
-1659.0309,2020,Qtr 4,November,19,No forecast,No forecast,No forecast,,,,,,
555.2368,2020,Qtr 4,November,20,No forecast,No forecast,No forecast,,,,,,
301.3298,2020,Qtr 4,November,21,No forecast,No forecast,No forecast,,,,,,
2.232,2020,Qtr 4,November,22,No forecast,No forecast,No forecast,,,,,,
213.4873,2020,Qtr 4,November,23,No forecast,No forecast,No forecast,,,,,,
935.9258,2020,Qtr 4,November,24,No forecast,No forecast,No forecast,,,,,,
-58.5678,2020,Qtr 4,November,25,No forecast,No forecast,No forecast,,,,,,
1251.3574,2020,Qtr 4,November,26,No forecast,No forecast,No forecast,,,,,,
643.252,2020,Qtr 4,November,27,No forecast,No forecast,No forecast,,,,,,
328.9202,2020,Qtr 4,November,28,No forecast,No forecast,No forecast,,,,,,
67.831,2020,Qtr 4,November,29,No forecast,No forecast,No forecast,,,,,,
49.5212,2020,Qtr 4,November,30,No forecast,No forecast,No forecast,,,,,,
718.892,2020,Qtr 4,December,1,No forecast,No forecast,No forecast,,,,,,
-7.341,2020,Qtr 4,December,2,No forecast,No forecast,No forecast,,,,,,
280.7407,2020,Qtr 4,December,3,No forecast,No forecast,No forecast,,,,,,
-21.9881,2020,Qtr 4,December,4,No forecast,No forecast,No forecast,,,,,,
447.6235,2020,Qtr 4,December,5,No forecast,No forecast,No forecast,,,,,,
2.8836,2020,Qtr 4,December,6,No forecast,No forecast,No forecast,,,,,,
-2686.6673,2020,Qtr 4,December,7,No forecast,No forecast,No forecast,,,,,,
1154.6045,2020,Qtr 4,December,8,No forecast,No forecast,No forecast,,,,,,
1487.1418,2020,Qtr 4,December,9,No forecast,No forecast,No forecast,,,,,,
715.5696,2020,Qtr 4,December,10,No forecast,No forecast,No forecast,,,,,,
-82.4089,2020,Qtr 4,December,11,No forecast,No forecast,No forecast,,,,,,
99.2154,2020,Qtr 4,December,13,No forecast,No forecast,No forecast,,,,,,
215.25,2020,Qtr 4,December,14,No forecast,No forecast,No forecast,,,,,,
52.5946,2020,Qtr 4,December,15,No forecast,No forecast,No forecast,,,,,,
171.2212,2020,Qtr 4,December,16,No forecast,No forecast,No forecast,,,,,,
303.0905,2020,Qtr 4,December,17,No forecast,No forecast,No forecast,,,,,,
840.8157,2020,Qtr 4,December,18,No forecast,No forecast,No forecast,,,,,,
-152.4596,2020,Qtr 4,December,19,No forecast,No forecast,No forecast,,,,,,
176.9115,2020,Qtr 4,December,20,No forecast,No forecast,No forecast,,,,,,
570.7615,2020,Qtr 4,December,21,No forecast,No forecast,No forecast,,,,,,
957.1227,2020,Qtr 4,December,22,No forecast,No forecast,No forecast,,,,,,
284.0978,2020,Qtr 4,December,23,No forecast,No forecast,No forecast,,,,,,
1568.2397,2020,Qtr 4,December,24,No forecast,No forecast,No forecast,,,,,,
359.2003,2020,Qtr 4,December,25,No forecast,No forecast,No forecast,,,,,,
61.1202,2020,Qtr 4,December,26,No forecast,No forecast,No forecast,,,,,,
-31.9742,2020,Qtr 4,December,27,No forecast,No forecast,No forecast,,,,,,
253.1188,2020,Qtr 4,December,28,No forecast,No forecast,No forecast,,,,,,
644.4338,2020,Qtr 4,December,29,No forecast,No forecast,No forecast,,,,,,
101.5365,2020,Qtr 4,December,30,No forecast,No forecast,No forecast,,,,,,
-0.6048,2020,Qtr 4,December,31,'-0.6048,'-0.6048,'-0.6048,,,,,,
1810.275814,2021,Qtr 1,January,1,220.3244724,1810.275814,'-1369.6268695073159,,,,,,
1810.278994,2021,Qtr 1,January,2,220.3244724,1810.278994,'-1369.6300494068196,,,,,,
1810.282174,2021,Qtr 1,January,3,220.3244724,1810.282174,'-1369.6332292999637,,,,,,
1810.285354,2021,Qtr 1,January,4,220.3244724,1810.285354,'-1369.636409186748,,,,,,
1810.288534,2021,Qtr 1,January,5,220.3244724,1810.288534,'-1369.6395890671724,,,,,,
1810.291714,2021,Qtr 1,January,6,220.3244724,1810.291714,'-1369.6427689412376,,,,,,
1810.294894,2021,Qtr 1,January,7,220.3244724,1810.294894,'-1369.645948808943,,,,,,
1810.298073,2021,Qtr 1,January,8,220.3244724,1810.298073,'-1369.6491286702885,,,,,,
1810.301253,2021,Qtr 1,January,9,220.3244724,1810.301253,'-1369.6523085252752,,,,,,
1810.304433,2021,Qtr 1,January,10,220.3244724,1810.304433,'-1369.6554883739018,,,,,,
1810.307613,2021,Qtr 1,January,11,220.3244724,1810.307613,'-1369.6586682161692,,,,,,
1810.310793,2021,Qtr 1,January,12,220.3244724,1810.310793,'-1369.661848052077,,,,,,
1810.313973,2021,Qtr 1,January,13,220.3244724,1810.313973,'-1369.6650278816255,,,,,,
1810.317152,2021,Qtr 1,January,14,220.3244724,1810.317152,'-1369.668207704815,,,,,,
1810.320332,2021,Qtr 1,January,15,220.3244724,1810.320332,'-1369.6713875216446,,,,,,
,,,,,,,Confidence interval,95%,Forecasting of 15 days based on two year data,,,,
,,,,,,,sum of forecasting profit,27154.4711,,,,,
